id,numerozona,nomezona,numeromuni,nomemunici,numdistrit,nomedistri,area_ha_2,nome,domicilios,familias,populacao,matriculas,empregos,automoveis,viagens_produzidas,viagens_atraidas,renda_total,renda_media_familiar,renda_per_capita,renda_mediana_familiar,nenhum_auto,1_auto,2_auto,3_ou_mais_auto,total_familias,area_arbor,area_arb_1,indicador_massa_arborea,centroid_lat,centroid_long
68,68,Chácara Itaim,36,São Paulo,34,Itaim Bibi,"204,01",Chácara Itaim,12783,12783,27460,6213,73566,11339,171851,171156,81689560,6390,2975,6483,3411,6816,2556,0,12783,"49,1391847219857",491392,"0,240866549296533","-23,585015524667","-46,6802704004152"
2,2,Parque Dom Pedro,36,São Paulo,80,Sé,"113,64",Parque Dom Pedro,2342,2342,5695,1433,51854,891,137232,138306,7270945,3105,1277,2884,1471,871,0,0,2342,"17,755059184715",177551,"0,156239521160815","-23,5441367388615","-46,6297602209173"
87,87,Sumaré,36,São Paulo,61,Perdizes,"139,16",Sumaré,6893,6893,16354,2774,10844,6241,44504,44601,55069703,7989,3367,6949,1833,3693,1248,119,6893,"41,6597388959911",416597,"0,299365758091342","-23,544326895062","-46,6841148335684"
55,55,França Pinto,36,São Paulo,92,Vila Mariana,"112,14",França Pinto,6384,6384,15518,10615,15678,6203,50466,51186,36108364,5656,2327,5224,1278,4154,845,107,6384,"19,2533602523156",192534,"0,171690389266235","-23,5898229074505","-46,6415793617913"
97,97,Boaçava,36,São Paulo,2,Alto de Pinheiros,"314,44",Boaçava,6266,6266,16610,1638,13939,7688,43776,43380,55064339,8788,3315,7223,965,3526,1331,444,6266,"154,258253485217",1542583,"0,490580885018499","-23,5436394937917","-46,7208948925076"
59,59,Saúde,36,São Paulo,79,Saúde,"260,81",Saúde,20718,20718,52745,15870,31651,13546,164461,164995,129214201,6237,2450,4443,9817,8821,1820,260,20718,"34,6184397979207",346184,"0,132734326896671","-23,6211308398594","-46,6354313378309"
252,252,Jardim Previdência,36,São Paulo,27,Cursino,"165,81",Jardim Previdência,7598,7598,22489,3832,11661,5223,44948,44591,25304536,3330,1125,2589,3341,3542,365,350,7598,"31,3281313376953",313281,"0,188939939314247","-23,6171858514372","-46,6143249973684"
226,226,José Bonifácio,36,São Paulo,46,José Bonifácio,"416,53",José Bonifácio,34499,34499,102278,26114,20670,18485,175800,175398,101589394,2945,993,2923,18133,13451,2915,0,34499,"69,3047339765165",693047,"0,16638593613069","-23,5465691214637","-46,4340566717949"
9,9,Ponte Pequena,36,São Paulo,9,Bom Retiro,"129,78",Ponte Pequena,2267,2267,7456,6413,16492,487,36269,36522,7670743,3384,1029,2500,1816,372,79,0,2267,"21,3948645998581",213949,"0,164854866696395","-23,5240692896027","-46,6307355131413"
317,317,Jóquei Clube,36,São Paulo,55,Morumbi,"333,24",Jóquei Clube,1306,1328,4306,1077,7718,2234,18368,17372,17814976,13415,4137,10900,66,604,450,209,1328,"153,627222643459",1536272,"0,46101075094064","-23,5858986486812","-46,6999080903503"
231,231,Terceira DiviSão,36,São Paulo,32,Iguatemi,"1130,9",Terceira Divisão,10869,10869,35298,6105,8258,5881,50016,49474,31644177,2911,896,2733,5722,4547,601,0,10869,"763,558169671376",7635582,"0,67517744245413","-23,6170757540669","-46,4167567945627"
77,77,Clínicas,36,São Paulo,44,Jardim Paulista,"128,72",Clínicas,10526,10526,21006,6901,38950,7640,95986,95297,83981541,7978,3998,6843,4249,5184,862,231,10526,"32,2196643311025",322197,"0,250308144275191","-23,5573467414589","-46,6753217694561"
4,4,Ladeira da Memória,36,São Paulo,67,República,"75,11",Ladeira da Memória,12588,12588,24089,1127,22554,3401,78184,78286,65571511,5209,2722,3580,9212,3376,0,0,12588,"12,3180987788709",123181,"0,164000782570509","-23,5515271291966","-46,6417841460023"
193,193,Araucárias,36,São Paulo,36,Itaquera,"129,58",Araucárias,7568,7786,25665,3255,6585,3584,37255,37255,21415773,2750,834,2000,4283,3504,0,0,7786,"16,8790310520275",168790,"0,130259538910538","-23,5220850928514","-46,4692483147902"
277,277,Cupecê,36,São Paulo,22,Cidade Ademar,"416,89",Cupecê,20573,20785,59452,18697,26289,18642,124162,124376,80617655,3879,1356,3044,5160,13028,2597,0,20785,"58,5275087758088",585275,"0,140390771608359","-23,6613841145972","-46,6692442770448"
69,69,Vila Olímpia,36,São Paulo,34,Itaim Bibi,"89,63",Vila Olímpia,4948,4948,10021,2981,23463,4451,60726,60725,44688444,9032,4459,8000,1380,2785,783,0,4948,"12,0170489794431",120170,"0,134073959382385","-23,5920781879108","-46,6771226539202"
198,198,Cidade Nitro-Operária,36,São Paulo,76,São Miguel,"357,92",Cidade Nitro-Operária,9489,9489,29485,11234,23934,5557,101522,101799,32395487,3414,1099,2589,4708,3983,798,0,9489,"84,4971293668057",844971,"0,236078255942126","-23,4960956979064","-46,4371372477488"
52,52,Vila Mariana,36,São Paulo,92,Vila Mariana,"59,61",Vila Mariana,4576,4576,10145,7768,14736,4789,41976,40952,45098851,9856,4445,7000,843,3007,615,111,4576,"10,8094410163062",108094,"0,181336034495994","-23,5856569269033","-46,6317750240269"
197,197,São Miguel Paulista,36,São Paulo,76,São Miguel,"302,65",São Miguel Paulista,7580,7686,24124,8538,7763,4276,50242,49810,26124920,3399,1083,3200,3267,4056,363,0,7686,"76,3573468487031",763573,"0,252295875925006","-23,4950638791434","-46,4474561701855"
241,241,Vila Independência,36,São Paulo,33,Ipiranga,"170,22",Vila Independência,3516,3516,9672,1875,12369,2222,30083,29568,12417327,3532,1284,2935,1822,1269,374,51,3516,"13,6225048408199",136225,"0,080028814715192","-23,5808997162285","-46,6002244781128"
106,106,CEASA,36,São Paulo,90,Vila Leopoldina,"197,78",CEASA,1103,1103,3921,54,20954,319,30809,31592,2259191,2048,576,2086,791,312,0,0,1103,"29,8365513803802",298366,"0,150857272628073","-23,5359510148753","-46,7387849495244"
104,104,Bela Aliança,36,São Paulo,90,Vila Leopoldina,"71,35",Bela Aliança,2764,2764,7064,3221,3617,3777,17969,17846,24599314,8900,3482,6843,317,1318,875,254,2764,"20,5162857717185",205163,"0,287544299533546","-23,5238971216403","-46,7260861889403"
210,210,Jardim Anália Franco,36,São Paulo,87,Vila Formosa,"334,04",Jardim Anália Franco,11186,11186,32170,20400,20561,10226,92162,94631,63184128,5649,1964,4689,2939,6697,1174,376,11186,"70,2383074114237",702383,"0,210269151632809","-23,5609211970704","-46,5545249221907"
94,94,Água Branca,36,São Paulo,6,Barra Funda,"71,11",Água Branca,1660,1660,3993,4180,19561,1300,53823,53673,11198136,6746,2804,5224,595,859,206,0,1660,"11,0781365261622",110781,"0,155788729098048","-23,5265014023237","-46,6777342391074"
103,103,Gavião Peixoto,36,São Paulo,48,Lapa,"68,96",Gavião Peixoto,889,889,2622,1713,2922,875,11489,11593,6686242,7521,2550,6400,203,525,154,7,889,"24,9624373514696",249624,"0,361984300340336","-23,5221116017482","-46,7173711046202"
